timestamp,price,volume
11.01.2018 03:00:00,14940.00000000,33554.72375100
12.01.2018 03:00:00,13238.76000000,16417.16213700
13.01.2018 03:00:00,13749.95000000,12221.50852800
14.01.2018 03:00:00,14210.00000000,17017.89432900
15.01.2018 03:00:00,13477.98000000,14652.09470500
16.01.2018 03:00:00,13500.00000000,63401.16917500
17.01.2018 03:00:00,10899.99000000,72331.79664600
18.01.2018 03:00:00,10972.59000000,48464.43493700
19.01.2018 03:00:00,10960.00000000,34129.37542100
20.01.2018 03:00:00,11474.98000000,28768.85782700
21.01.2018 03:00:00,12799.80000000,41379.77342600
22.01.2018 03:00:00,11530.00000000,43752.60679100
23.01.2018 03:00:00,10760.05000000,37473.92255200
24.01.2018 03:00:00,10799.14000000,27158.58776200
25.01.2018 03:00:00,11349.96000000,20839.95418300
26.01.2018 03:00:00,11184.70000000,33056.87196000
27.01.2018 03:00:00,11089.00000000,18860.76834500
28.01.2018 03:00:00,11499.98000000,16887.33952400
29.01.2018 03:00:00,11879.95000000,14170.37753800
30.01.2018 03:00:00,11250.11000000,25554.37294600
31.01.2018 03:00:00,10230.00000000,18015.95680500
01.02.2018 03:00:00,10285.10000000,33564.76431100
02.02.2018 03:00:00,9224.52000000,49971.62697500
03.02.2018 03:00:00,8873.03000000,28725.00073500
04.02.2018 03:00:00,9199.96000000,32014.30844900
05.02.2018 03:00:00,8179.99000000,63403.18257900
06.02.2018 03:00:00,6939.63000000,100201.50030700
07.02.2018 03:00:00,7655.02000000,60778.46049700
08.02.2018 03:00:00,7599.00000000,1521.53731800
09.02.2018 03:00:00,7789.90000000,20482.91082500
10.02.2018 03:00:00,8683.93000000,49381.51265300
11.02.2018 03:00:00,8533.99000000,45025.18795200
12.02.2018 03:00:00,8063.82000000,41987.85049000
13.02.2018 03:00:00,8903.00000000,35454.97295600
14.02.2018 03:00:00,8535.17000000,40811.95286700
15.02.2018 03:00:00,9449.98000000,52427.59671500
16.02.2018 03:00:00,10000.89000000,38161.20597400
17.02.2018 03:00:00,10156.07000000,41882.10840700
18.02.2018 03:00:00,11039.55000000,61137.38072800
19.02.2018 03:00:00,10375.01000000,40831.41713100
20.02.2018 03:00:00,11147.11000000,48153.35428800
21.02.2018 03:00:00,11195.07000000,68113.81875400
22.02.2018 03:00:00,10439.02000000,67060.16648300
23.02.2018 03:00:00,9815.55000000,57202.70237000
24.02.2018 03:00:00,10131.04000000,40888.15629900
